word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
retribution,0.614,0,0,0.545,0,0.424,0,0
rebellion,0.609,0,0.359,0.531,0,0,0,0
oppressor,0.609,0,0,0.609,0,0.703,0,0
gang,0.609,0,0,0.672,0,0,0,0
slavery,0.609,0,0.812,0.750,0,0.828,0,0
intolerable,0.609,0,0,0,0,0,0,0
adverse,0.609,0,0.430,0.352,0,0.281,0,0
injurious,0.609,0,0,0.641,0,0.500,0,0
twats,0.609,0,0,0,0,0,0,0
collision,0.609,0,0,0,0,0,0,0
battery,0.609,0,0,0,0,0,0,0
bitterly,0.609,0,0.547,0,0,0.625,0,0
antagonism,0.609,0,0,0,0,0,0,0
irritability,0.609,0,0,0,0,0,0,0
disgraced,0.608,0,0.523,0,0,0.734,0,0
diatribe,0.606,0,0.391,0,0,0,0,0
asshole,0.606,0,0.836,0,0,0,0,0
blast,0.606,0,0,0.688,0,0,0.852,0
bombardment,0.606,0,0,0.844,0,0,0,0
irks,0.606,0,0,0,0,0,0,0
ranting,0.606,0,0,0,0,0,0,0
revolution,0.606,0.641,0,0.359,0,0.203,0.664,0
thug,0.606,0,0.594,0.672,0,0,0,0
antagonistic,0.606,0,0.477,0,0,0,0,0
irritating,0.606,0,0.375,0,0,0,0,0
sickening,0.606,0,0.742,0.625,0,0.750,0,0
discrimination,0.606,0,0.664,0.391,0,0.578,0,0
frustrate,0.604,0,0.352,0,0,0.469,0,0
insult,0.603,0,0.393,0,0,0.484,0.539,0
hurtful,0.603,0,0.367,0.625,0,0.688,0,0
oppression,0.603,0,0.656,0.688,0,0.812,0,0
manipulation,0.603,0,0,0.531,0,0,0,0
tiredofit,0.603,0,0,0,0,0,0,0
bigot,0.603,0,0.859,0.422,0,0,0,0
tension,0.603,0,0,0,0,0,0,0
disgust,0.602,0,0.719,0.406,0,0.531,0,0
spite,0.600,0,0,0,0,0,0,0
intrusive,0.598,0,0.531,0.469,0,0,0.617,0
harshness,0.597,0,0,0.516,0,0,0,0
slur,0.596,0,0.547,0,0,0.266,0,0
tempest,0.594,0.539,0,0.423,0,0.250,0.625,0
assail,0.594,0,0,0.578,0,0,0.602,0
bitterness,0.594,0,0.500,0,0,0.578,0,0.234
morbidity,0.594,0,0.727,0.820,0,0.864,0,0
casualty,0.594,0,0,0.719,0,0.828,0,0
puncture,0.594,0,0,0,0,0,0,0
miserable,0.594,0,0.547,0,0,0.844,0,0
inferno,0.594,0,0,0.766,0,0,0,0
